Roll|Text
2|Inside is a dried-out eyeball. You cannot imagine why.
3|Nothing. The pouch is empty.
4|Nothing. The pouch is empty.
5|Inside the pouch is a vial of black ink.
6|Inside the pouch are some human teeth.
7|Inside the pouch is a small book within which is some scrawled writing that you cannot read.
8|There are some smooth pebbles in the pouch, mixed in with some Kathoto Spines.
9|Nestled inside the pouch is a Potion of Constancy.
10|There is a necklace inside made of ebony beads and a small capsule containing Scarlet Orievatus.
11|Inside the pouch is a symbol of a tree carved in horn and some Dankoma Stems, alongside 10 GC.
12|You pull out a small silver cross and as it touches your skin you feel warm. Heal up to base HP. One time use only.
